productname,category,subcategory,puc,productstatus
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home),new,laptop,la-nw-0000000002,low_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000003,out_of_stock
iPhone 16 Pro,new,mobile_phone,mp-nw-0000000005,out_of_stock
OnePlus Nord CE4 Lite 5G,new,mobile_phone,mp-nw-0000000006,out_of_stock
realme NARZO 70x 5G,new,mobile_phone,mp-nw-0000000007,out_of_stock
Acer Aspire Lite,new,laptop,la-nw-0000000008,out_of_stock
HP Victus,new,laptop,la-nw-0000000009,out_of_stock
Laptop warranty,new,accessories,ac-nw-0000000011,out_of_stock
Veneer Vegan Leather 15.6 Inch Laptop Bag,new,accessories,ac-nw-0000000012,out_of_stock
1 Year Mobile Warranty,new,accessories,ac-nw-0000000013,out_of_stock
Amazon Basics Bluetooth Extendable Selfie Sticks,new,accessories,ac-nw-0000000014,out_of_stock
Samsung Galaxy M05,new,mobile_phone,mp-nw-0000000015,out_of_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000016,out_of_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000017,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000018,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000019,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000020,out_of_stock
Samsung Galaxy A55 5G,new,mobile_phone,mp-nw-0000000021,out_of_stock
Samsung Galaxy A55 5G,new,mobile_phone,mp-nw-0000000022,out_of_stock
Samsung Galaxy A35 5G,new,mobile_phone,mp-nw-0000000023,out_of_stock
Samsung Galaxy F55 5G,new,mobile_phone,mp-nw-0000000024,out_of_stock
Samsung Galaxy F55 5G,new,mobile_phone,mp-nw-0000000025,out_of_stock
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home),new,laptop,la-nw-0000000002,low_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000003,out_of_stock
iPhone 16 Pro,new,mobile_phone,mp-nw-0000000005,out_of_stock
OnePlus Nord CE4 Lite 5G,new,mobile_phone,mp-nw-0000000006,out_of_stock
realme NARZO 70x 5G,new,mobile_phone,mp-nw-0000000007,out_of_stock
Acer Aspire Lite,new,laptop,la-nw-0000000008,out_of_stock
HP Victus,new,laptop,la-nw-0000000009,out_of_stock
Laptop warranty,new,accessories,ac-nw-0000000011,out_of_stock
Veneer Vegan Leather 15.6 Inch Laptop Bag,new,accessories,ac-nw-0000000012,out_of_stock
1 Year Mobile Warranty,new,accessories,ac-nw-0000000013,out_of_stock
Amazon Basics Bluetooth Extendable Selfie Sticks,new,accessories,ac-nw-0000000014,out_of_stock
Samsung Galaxy M05,new,mobile_phone,mp-nw-0000000015,out_of_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000016,out_of_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000017,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000018,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000019,out_of_stock
Samsung Galaxy S23 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000020,out_of_stock
Samsung Galaxy A55 5G,new,mobile_phone,mp-nw-0000000021,out_of_stock
Samsung Galaxy A55 5G,new,mobile_phone,mp-nw-0000000022,out_of_stock
Samsung Galaxy A35 5G,new,mobile_phone,mp-nw-0000000023,out_of_stock
Samsung Galaxy F55 5G,new,mobile_phone,mp-nw-0000000024,out_of_stock
Samsung Galaxy F55 5G,new,mobile_phone,mp-nw-0000000025,out_of_stock
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home),new,laptop,la-nw-0000000002,low_stock
Samsung Galaxy S24 Ultra 5G AI Smartphone,new,mobile_phone,mp-nw-0000000003,out_of_stock
iPhone 16 Pro,new,mobile_phone,mp-nw-0000000005,out_of_stock
